"Environment and Climate Change Canada"
"Monthly Values for June - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","12.2","0","-0.7","19.0","0","8.0","0","0.0","0",NA,"71.4","0","62.0","0.0","13","","",NA,"174.6","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.926","BC","14.2","0",NA,"25.3","0","3.9","0","",,NA,"39.4","0",NA,"","6","",,NA,"113.6","0.3","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","9.9","1",NA,"13.9","1","6.6","0","",,NA,"",,NA,"","","",,NA,"235.4","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","10.6","0",NA,"15.6","0","7.9","0","",,NA,"44.4","3",NA,"","9","",,NA,"221.0","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","12.8","15",NA,"23.0","15","5.0","15","0.0","15",NA,"80.7","15",NA,"","7","","",NA,"77.7","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","12.3","0","-0.6","17.8","0","5.6","0","0.0","0",NA,"125.6","0","97.0","0.0","11","","",NA,"169.9","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","12.4","0","-0.8","20.0","0","5.0","0","0.0","0",NA,"131.6","0","89.0","0.0","13","","",NA,"167.6","0.0","1038332"
"BOWEN ISLAND BOWEN BAY","49.366","-123.421","BC","",,NA,"",,"",,"0.0","18",NA,"68.2","18",NA,"","7","","",NA,"","","104090R"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","0",NA,"86.2","0",NA,"","10","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","14.8","0","-0.5","21.0","0","8.0","0","0.0","0",NA,"61.0","0","91.0","0.0","10","","",NA,"96.7","0.3","1043152"
"MALIBU JERVIS INLET","50.165","-123.853","BC","15.7","1","-0.4","25.0","1","9.0","1","0.0","1",NA,"60.1","1",NA,"0.0","10","","",NA,"71.3","4.5","1044840"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","15.8","27","-0.2","19.0","27","12.0","27","0.0","27",NA,"1.0","27",NA,"0.0","1","","",NA,"6.7","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","15.1","0",NA,"22.4","0","9.7","0","",,NA,"27.6","2",NA,"","3","",,NA,"87.6","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"26.8","0",NA,"0.0","6","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","15.0","4",NA,"23.4","3","7.6","2","",,NA,"120.2","6",NA,"","19","",,NA,"80.2","1.5","1046332"
"POWELL RIVER A","49.834","-124.500","BC","14.0","0","-0.9","22.1","0","5.3","0","0.0","0",NA,"48.4","0","72.0","0.0","10","","",NA,"119.7","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","14.0","7",NA,"22.3","4","5.6","6","",,NA,"31.4","12",NA,"","8","",,NA,"93.1","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","14.2","9",NA,"23.5","7","6.1","7","",,NA,"49.2","15",NA,"","9","",,NA,"80.3","0.2","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","15.0","0",NA,"26.1","0","6.6","0","",,NA,"66.5","1",NA,"","9","",,NA,"92.3","1.2","10476F0"
"WHISTLER","50.129","-122.955","BC","12.8","0","-0.8","23.9","0","3.3","0","0.0","0",NA,"66.7","0","113.0","0.0","13","","",NA,"156.1","0.0","1048898"
"CAPE ST JAMES CS","51.936","-131.016","BC","8.1","11",NA,"16.3","11","-0.8","11","",,NA,"",,NA,"","","",,NA,"188.7","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","10.1","0",NA,"13.9","0","7.6","0","",,NA,"51.4","12",NA,"","9","",,NA,"236.8","0.0","1054222"
"LANGARA","54.255","-133.058","BC","10.4","0","-0.4","14.5","0","5.6","0","0.0","0",NA,"129.6","0","138.0","0.0","16","",,NA,"229.1","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","10.3","0",NA,"15.4","0","5.6","0","",,NA,"81.3","14",NA,"","7","",,NA,"231.8","0.0","1054503"
"MASSET A","54.000","-132.167","BC","11.0","0",NA,"16.0","0","2.5","0","0.0","0",NA,"84.2","0",NA,"0.0","17","","",NA,"209.4","0.0","1054925"
"ROSE SPIT (AUT)","54.159","-131.661","BC","11.0","1",NA,"14.9","1","4.5","0","",,NA,"57.4","13",NA,"","9","",,NA,"204.3","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","10.5","23","-1.7","15.5","23","5.0","23","0.0","23",NA,"33.0","23",NA,"0.0","4","","",NA,"52.7","0.0","1057050"
"SANDSPIT","53.254","-131.814","BC","11.2","5",NA,"16.9","5","6.3","5","",,NA,"36.4","5",NA,"","9","",,NA,"169.8","0.0","1057052"
"SANDSPIT AWOS","53.254","-131.814","BC","11.3","28",NA,"15.1","28","8.0","27","",,NA,"15.0","28",NA,"","2","",,NA,"13.4","0.0","1057055"
"SEWALL MASSET INLET","53.764","-132.299","BC","11.2","2",NA,"19.0","2","3.5","2","0.0","2",NA,"104.2","2",NA,"0.0","18","","",NA,"191.3","0.0","105PA91"
"ADDENBROKE ISLAND","51.604","-127.864","BC","12.5","0","-0.5","19.0","0","8.0","0","0.0","0",NA,"117.4","0","74.0","0.0","15","","",NA,"164.7","0.0","1060080"
"BELLA BELLA A","52.185","-128.157","BC","11.8","0",NA,"20.8","0","4.1","0","",,NA,"122.5","0",NA,"","15","",,NA,"186.5","0.0","1060811"
"BELLA COOLA A","52.388","-126.596","BC","14.6","0","-0.5","26.1","0","4.1","0","0.0","0",NA,"28.8","0","56.0","0.0","9","","",NA,"103.3","0.0","1060841"
"BOAT BLUFF","52.643","-128.524","BC","12.0","0","-0.8","22.5","0","6.5","0","0.0","0",NA,"230.5","0","102.0","0.0","16","","",NA,"179.4","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","11.4","0","-0.4","15.0","0","7.5","0","0.0","0",NA,"115.4","0","117.0","0.0","15","","",NA,"199.5","0.0","1060902"
"BONILLA ISLAND (AUT)","53.500","-130.633","BC","10.4","0",NA,"13.4","0","8.1","0","",,NA,"41.4","3",NA,"","11","",,NA,"228.6","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.470","BC","12.8","1",NA,"20.8","1","7.6","0","",,NA,"",,NA,"","","",,NA,"151.2","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.601","BC","11.2","0",NA,"16.3","0","6.7","0","",,NA,"0.0","4",NA,"","0","",,NA,"205.1","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","12.7","0","-0.8","22.0","0","7.0","0","0.0","0",NA,"135.0","0","94.0","0.0","16","","",NA,"158.5","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","11.7","0","-0.4","17.0","0","6.5","0","0.0","0",NA,"90.8","0","75.0","0.0","13","","",NA,"188.0","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","12.5","0","-0.3","19.0","0","8.0","0","0.0","0",NA,"96.9","0","92.0","0.0","17","","",NA,"164.5","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","10.7","0",NA,"16.9","0","6.9","0","",,NA,"76.2","3",NA,"","12","",,NA,"218.1","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.647","BC","11.5","0",NA,"15.9","0","8.2","0","",,NA,"32.8","2",NA,"","9","",,NA,"194.1","0.0","1063461"
"HOLLAND ROCK","54.173","-130.361","BC","11.2","0",NA,"16.7","0","8.0","0","",,NA,"95.0","0",NA,"","12","",,NA,"203.1","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","11.9","0","-0.7","16.5","0","6.5","0","0.0","0",NA,"126.2","0","98.0","0.0","14","","",NA,"181.7","0.0","1063690"
"KEMANO","53.563","-127.943","BC","13.5","1","-0.9","27.0","1","3.0","1","0.0","0",NA,"38.4","0","61.0","","12","","",NA,"131.2","0.0","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","14.3","1","-0.2","25.0","1","7.0","1","0.0","1",NA,"78.8","1",NA,"0.0","10","","",NA,"107.0","0.0","1064320"
"KITIMAT 2","54.010","-128.705","BC","14.4","11","-0.5","27.0","11","7.0","11","0.0","0",NA,"77.9","0","95.0","","13","","",NA,"68.6","0.0","1064321"
"KITIMAT 3","54.065","-128.641","BC","",,NA,"",,"",,"0.0","0",NA,"77.0","0","115.0","0.0","13","","",NA,"","","1064322"
"LUCY ISLAND LIGHTSTATION","54.359","-130.729","BC","11.3","1",NA,"16.4","1","8.1","0","",,NA,"",,NA,"","","",,NA,"193.2","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","12.0","0","-0.6","17.5","0","8.0","0","0.0","3",NA,"113.3","0","91.0","","14","",,NA,"181.1","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","11.7","4",NA,"17.1","4","6.1","3","",,NA,"110.0","3",NA,"","13","",,NA,"164.7","0.0","1066482"
"PRINCE RUPERT AWOS","54.286","-130.445","BC","11.7","0",NA,"17.1","0","6.2","0","",,NA,"123.0","0",NA,"","16","",,NA,"188.0","0.0","1066483"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","10",NA,"189.3","10",NA,"0.0","14","","",NA,"","","1066488"
"STEWART A","55.936","-129.985","BC","13.4","0","-0.6","25.1","0","5.0","0","0.0","0",NA,"105.9","0","161.0","0.0","16","","",NA,"139.5","0.0","1067742"
"STUIE TWEEDSMUIR LODGE","52.368","-126.067","BC","15.6","7","-0.4","29.0","7","4.0","7","0.0","7",NA,"5.2","7",NA,"0.0","2","","",NA,"58.4","2.3","1067776"
"TERRACE A","54.466","-128.578","BC","13.4","0","-0.7","25.2","0","4.8","0","0.0","0",NA,"58.9","0","116.0","0.0","11","",,NA,"137.3","0.3","1068130"
"TERRACE PCC","54.502","-128.625","BC","14.3","0","-0.4","25.5","0","4.5","0","0.0","0",NA,"80.0","0","168.0","0.0","10","","",NA,"111.9","0.0","1068131"
"TRIPLE ISLAND","54.295","-130.880","BC","11.2","3",NA,"15.5","3","8.0","3","0.0","3",NA,"58.8","3",NA,"0.0","15","","",NA,"183.8","0.0","1068250"
