"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","13.7","0","0.6","25.0","0","6.0","0","0.0","0","0.0","117.5","0","188.0","0.0","11","","",NA,"136.2","1.5","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","13.4","0",NA,"22.8","0","6.2","0","",,NA,"89.8","0",NA,"","10","",,NA,"142.9","1.4","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"85.9","0",NA,"0.0","12","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","13.1","0",NA,"26.5","0","3.8","0","",,NA,"195.8","0",NA,"","11","",,NA,"157.8","5.2","1046332"
"POWELL RIVER A","49.834","-124.500","BC","11.9","0","0.0","28.0","0","1.0","0","0.0","0",NA,"120.5","0","157.0","0.0","10","","",NA,"189.2","0.5","1046391"
"POWELL RIVER","49.835","-124.497","BC","12.1","0",NA,"28.4","0","0.9","0","",,NA,"130.6","0",NA,"","12","",,NA,"184.8","1.1","1046392"
"SECHELT AUT","49.458","-123.715","BC","12.8","0",NA,"28.0","0","2.2","0","",,NA,"102.6","0",NA,"","10","",,NA,"163.5","2.8","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","13.2","2",NA,"29.9","2","1.5","0","",,NA,"82.0","2",NA,"","7","",,NA,"145.7","5.4","10476F0"
"WHISTLER","50.129","-122.955","BC","11.4","0","1.3","30.0","0","0.0","0","0.0","0","0.0","67.7","0","101.0","0.0","13","","",NA,"204.8","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","8.9","5",NA,"15.0","5","4.4","2","",,NA,"74.7","7",NA,"","13","",,NA,"237.5","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","8.7","3",NA,"13.4","3","5.1","2","",,NA,"65.8","5",NA,"","10","",,NA,"259.1","0.0","1054222"
"LANGARA","54.255","-133.058","BC","8.8","0","0.3","15.0","0","4.0","0","0.0","0","0.0","141.0","0","129.0","0.0","16","","",NA,"284.4","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","8.7","0",NA,"14.3","0","4.0","0","",,NA,"136.1","0",NA,"","12","",,NA,"289.6","0.0","1054503"
"ROSE SPIT (AUT)","54.159","-131.661","BC","9.7","0",NA,"15.6","0","3.4","0","",,NA,"",,NA,"","","",,NA,"258.4","0.0","1056869"
"SANDSPIT AIRPORT AUTO","53.249","-131.813","BC","9.7","0",NA,"16.2","0","3.2","0","",,NA,"51.7","0",NA,"","10","",,NA,"257.0","0.0","1057051"
"SANDSPIT","53.254","-131.814","BC","10.0","16",NA,"15.3","16","3.9","16","",,NA,"25.4","16",NA,"","4","",,NA,"120.0","0.0","1057052"
"ADDENBROKE ISLAND","51.604","-127.864","BC","10.9","2","0.3","17.5","2","5.0","2","0.0","2",NA,"185.6","2",NA,"0.0","17","","",NA,"205.4","0.0","1060080"
"BELLA BELLA","52.185","-128.157","BC","10.2","5",NA,"21.2","5","0.5","5","",,NA,"279.8","5",NA,"","15","",,NA,"202.6","0.0","1060815"
"BELLA COOLA A","52.388","-126.596","BC","12.8","0","0.7","29.0","0","0.0","0","0.0","0",NA,"51.9","0","109.0","0.0","11","","",NA,"160.8","0.5","1060841"
"BELLA COOLA AIRPORT","52.389","-126.587","BC","12.6","0",NA,"28.2","0","-0.8","0","",,NA,"43.7","0",NA,"","8","",,NA,"168.2","0.0","1060844"
"BOAT BLUFF","52.643","-128.524","BC","10.7","0","0.3","21.0","0","4.0","0","0.0","0","0.0","341.8","0","133.0","0.0","18","","",NA,"225.4","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","9.7","0","0.1","16.0","0","5.0","0","0.0","0","0.0","134.8","0","111.0","0.0","14","","",NA,"258.7","0.0","1060902"
